[<18:27:59>]   cpu_agent: cpu: 38.59 | processes: 475
[<18:27:59>]   cpu_agent: cpu: 36.32 | processes: 475
[<18:27:59>]   cpu_agent: cpu: 85.19 | processes: 491
[<18:28:00>]   cpu_agent: cpu: 63.39 | processes: 479
[<18:28:00>]   cpu_agent: cpu: 43.41 | processes: 475
[<18:52:43>]   cpu_agent: cpu: 41.21 | processes: 478
[<18:52:43>]   cpu_agent: cpu: 36.82 | processes: 478
[<18:52:43>]   cpu_agent: cpu: 38.8 | processes: 478
[<18:52:44>]   cpu_agent: cpu: 35.56 | processes: 478
[<18:52:44>]   cpu_agent: cpu: 38.68 | processes: 478
[<18:52:45>]   cpu_agent: cpu: 38.59 | processes: 478
[<18:52:45>]   cpu_agent: cpu: 36.47 | processes: 478
[<18:52:46>]   cpu_agent: cpu: 35.6 | processes: 478
[<18:52:46>]   cpu_agent: cpu: 36.82 | processes: 478
[<18:52:47>]   cpu_agent: cpu: 50.27 | processes: 478
[<18:52:47>]   cpu_agent: cpu: 39.35 | processes: 478
[<18:52:47>]   cpu_agent: cpu: 38.71 | processes: 478
[<18:52:48>]   cpu_agent: cpu: 37.02 | processes: 478
[<18:52:48>]   cpu_agent: cpu: 36.82 | processes: 478
[<18:52:49>]   cpu_agent: cpu: 44.69 | processes: 478
[<18:52:49>]   cpu_agent: cpu: 48.13 | processes: 478
[<18:52:50>]   cpu_agent: cpu: 39.14 | processes: 478
[<18:52:50>]   cpu_agent: cpu: 46.08 | processes: 478
[<18:52:59>]   cpu_agent: cpu: 36.82 | processes: 482
[<18:52:59>]   cpu_agent: cpu: 36.62 | processes: 482
[<18:52:59>]   cpu_agent: cpu: 84.27 | processes: 498
[<18:53:00>]   cpu_agent: cpu: 64.79 | processes: 486
[<19:00:19>]   cpu_agent: cpu: 37.3 | processes: 528
[<19:00:20>]   cpu_agent: cpu: 88.72 | processes: 503
[<19:00:20>]   cpu_agent: cpu: 48.39 | processes: 490
[<19:00:21>]   cpu_agent: cpu: 44.33 | processes: 486
[<19:00:21>]   cpu_agent: cpu: 37.23 | processes: 486
[<19:00:22>]   cpu_agent: cpu: 35.2 | processes: 486
[<19:00:22>]   cpu_agent: cpu: 36.82 | processes: 486
[<19:00:22>]   cpu_agent: cpu: 35.56 | processes: 486
[<19:00:23>]   cpu_agent: cpu: 35.76 | processes: 486
[<19:00:23>]   cpu_agent: cpu: 36.82 | processes: 486
[<19:00:24>]   cpu_agent: cpu: 37.5 | processes: 486
[<19:00:24>]   cpu_agent: cpu: 36.32 | processes: 486
[<19:00:25>]   cpu_agent: cpu: 37.71 | processes: 486
[<19:00:25>]   cpu_agent: cpu: 36.88 | processes: 486
[<19:52:40>]   cpu_agent: cpu: 60.64 | processes: 422
[<19:52:40>]   cpu_agent: cpu: 42.71 | processes: 418
[<19:52:41>]   cpu_agent: cpu: 24.47 | processes: 418
[<19:52:41>]   cpu_agent: cpu: 34.38 | processes: 418
[<19:52:41>]   cpu_agent: cpu: 36.18 | processes: 417
[<19:52:41>]   cpu_agent: cpu: 37.24 | processes: 417
[<19:52:42>]   cpu_agent: cpu: 35.87 | processes: 417
[<19:52:42>]   cpu_agent: cpu: 42.56 | processes: 417
[<19:52:42>]   cpu_agent: cpu: 22.35 | processes: 417
[<19:52:43>]   cpu_agent: cpu: 18.48 | processes: 417
[<19:52:43>]   cpu_agent: cpu: 20.23 | processes: 417
[<19:52:43>]   cpu_agent: cpu: 19.57 | processes: 417
[<19:52:43>]   cpu_agent: cpu: 21.28 | processes: 417
[<19:52:44>]   cpu_agent: cpu: 23.41 | processes: 417
[<19:52:44>]   cpu_agent: cpu: 22.11 | processes: 417
[<19:53:25>]   cpu_agent: cpu: 20.62 | processes: 423
[<19:53:25>]   cpu_agent: cpu: 20.84 | processes: 423
[<19:53:25>]   cpu_agent: cpu: 22 | processes: 423
[<19:53:26>]   cpu_agent: cpu: 17.9 | processes: 424
[<19:53:26>]   cpu_agent: cpu: 16.85 | processes: 424
[<19:54:55>]   cpu_agent: cpu: 18.5 | processes: 426
[<19:54:55>]   cpu_agent: cpu: 20.84 | processes: 426
[<19:54:55>]   cpu_agent: cpu: 20.41 | processes: 426
[<19:54:55>]   cpu_agent: cpu: 21.65 | processes: 426
[<19:55:13>]   cpu_agent: cpu: 43.88 | processes: 430
[<19:55:13>]   cpu_agent: cpu: 43 | processes: 430
